"Length","Width","Height","etiqueta"
0.1,5.1,6.2,"Pizza"
0.2,4.4,6.8,"Tabla"
0.3,0.3,0.7,"Estaca"
0.3,0.3,0.7,"Estaca"
0.3,2.9,4.3,"Tabla"
0.3,2.9,4.3,"Tabla"
0.3,9,9.8,"Pizza"
0.4,3.5,6.4,"Tabla"
0.4,0.4,0.4,"Cubo"
0.4,0.4,0.7,"Leche"
0.4,0.4,0.7,"Leche"
0.4,4.3,8.7,"Tabla"
0.4,3.5,6.4,"Tabla"
0.4,3.3,5.7,"Tabla"
0.4,2.6,7.1,"Tabla"
0.4,3,6.3,"Tabla"
0.4,3.5,7.5,"Tabla"
0.4,0.7,8.4,"Tabla"
0.4,7.6,8.3,"Pizza"
0.4,3.1,4.3,"Tabla"
0.4,4.7,6.1,"Pizza"
0.5,5.5,11.3,"Tabla"
0.5,3.8,4.8,"Pizza"
0.5,7.8,10,"Pizza"
0.5,4.6,6.1,"Tabla"
0.6,6.6,10.5,"Tabla"
0.6,6.3,10,"Tabla"
0.6,5,8.1,"Tabla"
0.6,5,9.3,"Tabla"
0.6,6.6,10.5,"Tabla"
0.6,6.3,10,"Tabla"
0.6,3.9,9,"Tabla"
0.6,7.8,10.1,"Pizza"
0.6,5,8.1,"Tabla"
0.6,5,9.3,"Tabla"
0.6,5,9.3,"Tabla"
0.6,4,8.1,"Tabla"
0.6,5,8.1,"Tabla"
0.6,4.6,8.4,"Tabla"
0.7,6.6,16.6,"Tabla"
0.7,6.3,6.4,"Pizza"
0.7,9,12.3,"Tabla"
0.7,6.3,6.4,"Pizza"
0.7,4.7,7.1,"Tabla"
0.7,4.2,6.9,"Tabla"
0.7,3.4,5,"Tabla"
0.7,6.6,16.6,"Tabla"
0.7,3.3,6.4,"Tabla"
0.7,3.3,6.3,"Tabla"
0.7,9,12.1,"Tabla"
0.7,3.3,6.3,"Tabla"
0.7,10.2,14.5,"Tabla"
0.7,4.8,5.1,"Pizza"
0.7,8.7,11.8,"Tabla"
0.7,11.5,14.5,"Pizza"
0.7,3.6,11.3,"Tabla"
0.7,10.4,18,"Tabla"
0.7,10.4,18,"Tabla"
0.7,6.5,10.2,"Tabla"
