Length,Width,Height,etiqueta,distance
0.1,5.1,6.2,Pizza,8.03
0.2,4.4,6.8,Tabla,8.1
0.3,0.3,0.7,Estaca,0.82
0.3,0.3,0.7,Estaca,0.82
0.3,2.9,4.3,Tabla,5.2
0.3,2.9,4.3,Tabla,5.2
0.3,9.0,9.8,Pizza,13.31
0.4,3.5,6.4,Tabla,7.31
0.4,0.4,0.4,Cubo,0.69
0.4,0.4,0.7,Leche,0.9
0.4,0.4,0.7,Leche,0.9
0.4,4.3,8.7,Tabla,9.71
0.4,3.5,6.4,Tabla,7.31
0.4,3.3,5.7,Tabla,6.6
0.4,2.6,7.1,Tabla,7.57
0.4,3.0,6.3,Tabla,6.99
0.4,3.5,7.5,Tabla,8.29
0.4,0.7,8.4,Estaca,8.44
0.4,7.6,8.3,Pizza,11.26
0.4,3.1,4.3,Pizza,5.32
0.4,4.7,6.1,Pizza,7.71
0.5,5.5,11.3,Tabla,12.58
0.5,3.8,4.8,Pizza,6.14
0.5,7.8,10.0,Pizza,12.69
0.5,4.6,6.1,Pizza,7.66
0.6,6.6,10.5,Tabla,12.42
0.6,6.3,10.0,Tabla,11.83
0.6,5.0,8.1,Tabla,9.54
0.6,5.0,9.3,Tabla,10.58
0.6,6.6,10.5,Tabla,12.42
0.6,6.3,10.0,Tabla,11.83
0.6,3.9,9.0,Tabla,9.83
0.6,7.8,10.1,Pizza,12.78
0.6,5.0,8.1,Tabla,9.54
0.6,5.0,9.3,Tabla,10.58
0.6,5.0,9.3,Tabla,10.58
0.6,4.0,8.1,Tabla,9.05
0.6,5.0,8.1,Tabla,9.54
0.6,4.6,8.4,Tabla,9.6
0.7,6.6,16.6,Tabla,17.88
0.7,6.3,6.4,Pizza,9.01
0.7,9.0,12.3,Pizza,15.26
0.7,6.3,6.4,Pizza,9.01
0.7,4.7,7.1,Tabla,8.54
0.7,4.2,6.9,Tabla,8.11
0.7,3.4,5.0,Tabla,6.09
0.7,6.6,16.6,Tabla,17.88
0.7,3.3,6.4,Tabla,7.23
0.7,3.3,6.3,Tabla,7.15
0.7,9.0,12.1,Pizza,15.1
0.7,3.3,6.3,Tabla,7.15
0.7,10.2,14.5,Pizza,17.74
0.7,4.8,5.1,Pizza,7.04
0.7,8.7,11.8,Pizza,14.68
0.7,11.5,14.5,Pizza,18.52
0.7,3.6,11.3,Tabla,11.88
0.7,10.4,18.0,Tabla,20.8
0.7,10.4,18.0,Tabla,20.8
0.7,6.5,10.2,Tabla,12.12
0.7,11.5,14.5,Pizza,18.52
0.7,3.9,7.8,Tabla,8.75
0.8,7.6,9.9,Pizza,12.51
0.8,6.7,17.7,Tabla,18.94
0.8,0.8,0.8,Cubo,1.39
0.8,8.9,12.7,Pizza,15.53
0.8,6.3,9.1,Pizza,11.1
0.8,5.0,8.3,Tabla,9.72
0.8,7.9,15.7,Tabla,17.59
0.8,5.0,8.3,Tabla,9.72
0.8,5.0,8.3,Tabla,9.72
0.8,5.1,8.1,Tabla,9.61
0.8,7.1,8.1,Pizza,10.8
0.8,4.6,5.0,Pizza,6.84
0.8,5.2,7.7,Tabla,9.33
0.8,3.5,3.5,Pizza,5.01
0.8,1.2,4.7,Estaca,4.92
0.8,0.8,0.8,Cubo,1.39
0.8,7.6,9.9,Pizza,12.51
0.8,6.7,17.7,Tabla,18.94
0.8,4.7,7.9,Tabla,9.23
0.8,6.7,11.4,Tabla,13.25
0.8,2.4,4.2,Tabla,4.9
0.8,9.8,11.8,Pizza,15.36
0.8,11.4,13.8,Pizza,17.92
0.8,9.8,11.8,Pizza,15.36
0.8,11.4,13.8,Pizza,17.92
0.8,5.9,8.7,Tabla,10.54
0.8,7.5,9.1,Pizza,11.82
0.9,3.7,5.3,Pizza,6.53
0.9,9.8,13.8,Pizza,16.95
0.9,7.6,9.6,Pizza,12.28
0.9,3.1,5.2,Tabla,6.12
0.9,4.9,7.0,Pizza,8.59
0.9,4.9,7.0,Pizza,8.59
0.9,4.1,6.1,Tabla,7.4
0.9,8.5,9.8,Pizza,13.0
0.9,6.5,9.5,Pizza,11.55
0.9,6.2,8.6,Pizza,10.64
0.9,3.1,5.2,Tabla,6.12
0.9,4.1,6.1,Tabla,7.4
0.9,4.9,7.5,Tabla,9.0
0.9,3.7,5.3,Pizza,6.53
0.9,2.9,2.9,Pizza,4.2
0.9,4.7,6.4,Pizza,7.99
